Date,PNL (OX),Cumulative PNL (OX)
2024-08-16,-218552.0,-218552.0
2024-08-17,-17336138.0,-17554690.0
2024-08-18,-9274122.0,-26828812.0
2024-08-19,6662999.0,-20165813.0
2024-08-20,-6869724.0,-27035537.0
2024-08-21,-27803336.0,-54838873.0
2024-08-22,6943534.0,-47895339.0
2024-08-23,-71843566.0,-119738905.0
2024-08-24,810606.0,-118928299.0
2024-08-25,-6155359.0,-125083658.0
2024-08-26,34256269.0,-90827389.0
2024-08-27,87223130.0,-3604259.0
2024-08-28,-21562396.0,-25166655.0
2024-08-29,2173818.0,-22992837.0
2024-08-30,-5454517.0,-28447354.0
2024-08-31,9281780.0,-19165574.0
2024-09-01,64569172.0,45403598.0
2024-09-02,-81948008.0,-36544410.0
2024-09-03,57139564.0,20595154.0
2024-09-04,-18701309.0,1893845.0
2024-09-05,69383426.0,71277271.0
2024-09-06,130770916.0,202048187.0
2024-09-07,-31274786.0,170773401.0
2024-09-08,-40307659.0,130465742.0
2024-09-09,-102294969.0,28170773.0
2024-09-10,-23214496.0,4956277.0
2024-09-11,15901446.0,20857723.0
2024-09-12,-29371930.0,-8514207.0
2024-09-13,-41447166.0,-49961373.0
2024-09-14,4728181.0,-45233192.0
2024-09-15,25387920.0,-19845272.0
2024-09-16,29627271.0,9781999.0
2024-09-17,-53818811.0,-44036812.0
2024-09-18,-23244496.0,-67281308.0
2024-09-19,-54087171.0,-121368479.0
2024-09-20,-4948218.0,-126316697.0
2024-09-21,1985360.0,-124331337.0
2024-09-22,1320393.0,-123010944.0
2024-09-23,-11917869.0,-134928813.0
2024-09-24,3167107.0,-131761706.0
2024-09-25,-8759340.0,-140521046.0
2024-09-26,-9059253.0,-149580299.0
2024-09-27,4328931.0,-145251368.0
2024-09-28,-4303913.0,-149555281.0
2024-09-29,-25155265.0,-174710546.0
2024-09-30,5843186.0,-168867360.0
2024-10-01,52161261.0,-116706099.0
2024-10-02,45554801.0,-71151298.0
2024-10-03,19167817.0,-51983481.0
2024-10-04,-93912056.0,-145895537.0
2024-10-05,8049215.0,-137846322.0
2024-10-06,-54458149.0,-192304471.0
2024-10-07,-65030259.0,-257334730.0
2024-10-08,-58485365.0,-315820095.0
2024-10-09,67082272.0,-248737823.0
2024-10-10,8447277.0,-240290546.0
2024-10-11,-113321168.0,-353611714.0
2024-10-12,-42820947.0,-396432661.0
2024-10-13,-751619.0,-397184280.0
2024-10-14,-36029862.0,-433214142.0
2024-10-15,22730412.0,-410483730.0
2024-10-16,-19940154.0,-430423884.0
2024-10-17,6461597.0,-423962287.0
2024-10-18,-32743142.0,-456705429.0
2024-10-19,35668898.0,-421036531.0
2024-10-20,-82085023.0,-503121554.0
2024-10-21,76350495.0,-426771059.0
2024-10-22,7601749.0,-419169310.0
2024-10-23,68193893.0,-350975417.0
2024-10-24,-14140010.0,-365115427.0
2024-10-25,47260948.0,-317854479.0
2024-10-26,-13964675.0,-331819154.0
2024-10-27,-21124089.0,-352943243.0
2024-10-28,-44183847.0,-397127090.0
2024-10-29,-35437142.0,-432564232.0
2024-10-30,30044605.0,-402519627.0
2024-10-31,56522394.0,-345997233.0
2024-11-01,22661438.0,-323335795.0
2024-11-02,27750646.0,-295585149.0
2024-11-03,27566805.0,-268018344.0
2024-11-04,60319114.0,-207699230.0
2024-11-05,-93438700.0,-301137930.0
2024-11-06,-247404180.0,-548542110.0
2024-11-07,36729002.0,-511813108.0
