Date,PNL (OX),OX Balance,OX Value (USD),OX Perps Volume,Fees
2025-02-25,"+157,992,236","3,378,962,974","23,313,795.82","17,006,377,830",0
2025-02-24,"-107,961,261","3,294,497,393","28,396,998.88","6,927,440,145",0
2025-02-23,"-8,662,877","3,242,664,328","42,942,024.39","2,695,910,517",0
2025-02-22,"-57,978,381","3,185,834,064","43,240,782.73","11,678,070,741",0
2025-02-21,"+102,688,484","3,058,362,614","44,047,609.68","11,028,672,453",0
2025-02-20,"-32,322,640","3,043,096,478","38,558,607.08","6,595,792,121",0
2025-02-19,"-19,315,176","3,054,985,189","37,205,245.08","8,523,129,232",0
2025-02-18,"+49,633,768","3,056,707,817","38,637,835.20","6,702,901,472",0
2025-02-17,"-28,088,599","3,015,547,537","44,114,673.91","4,687,614,533",0
2025-02-16,"+39,654,618","3,000,087,940","46,949,626.04","3,319,141,723",0
2025-02-15,"+9,918,777","2,976,779,191","48,368,179.92","8,081,207,170",0
2025-02-14,"-74,850,035","2,976,407,822","49,894,568.52","8,242,713,249",0
2025-02-13,"+41,198,825","3,031,751,163","51,211,215.56","13,242,012,316",0
2025-02-12,"-82,903,647","3,056,782,070","52,017,605.92","11,253,651,692",0
2025-02-11,"+39,562,124","2,960,331,559","54,327,317.86","11,731,060,057",0
2025-02-10,"-48,628,560","2,889,559,416","56,057,025.25","16,213,623,731",0
2025-02-09,"-16,858,057","2,928,828,079","60,408,484.56","7,020,981,651",0
2025-02-08,"-52,560,831","2,961,602,669","61,167,593.85","30,503,581,098",0
2025-02-07,"+20,095,660","2,954,312,768","61,508,668.89","28,632,359,429",0
2025-02-06,"+16,042,296","2,949,968,927","60,667,539.72","20,570,928,402",0
2025-02-05,"-35,900,552","2,970,027,478","62,817,283.93","33,204,648,599",0
2025-02-04,"+9,672,272","3,162,082,689","69,571,295.89","44,793,260,327",0
2025-02-03,"-55,604,543","3,243,154,963","70,287,942.42","41,955,310,300",0
2025-02-02,"+99,804,125","3,130,258,083","60,977,560.72","24,965,551,710",0
2025-02-01,"+186,083,320","2,961,258,666","62,407,163.13","17,822,831,618",0
2025-01-31,"+29,730,375","2,876,760,292","60,448,023.72","8,802,391,757",0
2025-01-30,"-78,124,619","2,907,320,223","61,801,359.58","13,586,427,927",0
2025-01-29,"-82,846,100","3,010,023,563","64,504,644.54","20,371,014,991",0
2025-01-28,"+33,770,089","2,985,115,408","67,358,953.38","32,955,815,985",0
2025-01-27,"-15,484,006","3,040,089,185","65,587,707.30","27,674,250,853",0
2025-01-26,"+35,782,766","3,000,284,478","67,154,741.28","4,834,456,636",0
2025-01-25,"-18,365,432","3,016,572,914","71,186,657.86","7,747,665,693",0
2025-01-24,"+12,800,370","2,983,145,503","71,925,229.49","20,828,622,861",0
2025-01-23,"-2,168,932","3,024,441,738","69,864,434.76","16,769,920,948",0
2025-01-22,"-61,879,565","3,000,946,176","70,035,006.07","16,383,749,058",0
2025-01-21,"-41,028,795","3,087,430,159","71,186,054.26","46,630,676,900",0
2025-01-20,"-41,075,642","3,089,942,824","74,994,734.74","53,994,464,477",0
